placemarkName,placemarkLat,placemarkLon,styleId,origHref,proposedType,proposedValue,matchedDocId
"AUTOCARES Rios / Espinardo (Murcia)",38.030485,-1.175082,icon-1532-000000,"",none,"",KC5aRnx1se4eW09TSfdg
"PARKING BUS / Ciudad Deportiva Levante UD (Buñol)",39.428755,-0.774974,icon-1532-7CB342,"",none,"",l09oUn7nER1EPhpB7YIP
"APARCAMIENTO / Buñol (Valencia)",39.426514,-0.792258,icon-1644-0288D1,"",none,"",OmHscg72xllZUKFEpQvZ
"CIUDAD DEPORTIVA Valencia CF / Paterna (Valencia)",39.541859,-0.452303,icon-1890-1A237E,"",none,"",S2MrUyxJbQYeKXmz4pf2
"PARKING BUS (Máx 2Horas) ✅ / Madrid",40.465988,-3.685757,icon-1532-7CB342,"",none,"",1EHNqbuWYe9zodfTA1dM
"PARADOR De Plasencia - C Y D / Plasencia (Extremadura)",40.028924,-6.095356,icon-1602-9C27B0,"",none,"",v3hnzBBJQOEtUbVxVgYA
"APARCAMIENTO / Conil de la Frontera (Cádiz)",36.307407,-6.147482,icon-1644-0288D1,"",none,"",r1d4RaYFjYOckf3mkSRc
"ZONA DE ESPERA 🕔 - C Y D 🔄 / Nevada Shopping / Granada",37.142856,-3.612841,icon-1534-4E342E,"",none,"",d2rnHmq75eUjHUoeMNNd
"COMPRA DE VÍVERES 🛒 / Armilla (Granada)",37.152957,-3.622275,icon-1685-A52714,"",none,"",KLjVrC5kkD7WDb1qELcF
"PARA COMER Café Bar Alban 24 👌🏻 / Armilla (Granada)",37.153813,-3.616304,icon-1803-880E4F,"",none,"",DL1v4uJL5wkU8KLfl2aI
"ESTADIO La Nueva Condomina / Murcia CF",38.042019,-1.146686,icon-1899-DB4436,"",none,"",GW5DxqhlGAMRENcr4A7X
"BASÍLICA Valle de Los Caídos ✝️ / San Lorenzo de El Escorial (Madrid)",40.639469,-4.153103,icon-1670-E65100,"",none,"",Onzx32Fv5ccMETr8mMH1
"APARCAMIENTO 🅿️ / Júzcar (Málaga)",36.622926,-5.168674,icon-1644-0288D1,"",none,"",8YZBm16a6vxYezWL1CHg
"ZONA DE ESPERA O CAMBIO SENTIDO / Júzcar (Málaga)",36.628155,-5.171945,icon-1534-4E342E,"",none,"",3NfquhICwvqE8vLuRj8u
"ALTURA MÁXIMA 2,60M ⚠️ / Premià de Dalt (Barcelona)",41.49892,2.352944,icon-1541-C2185B,"",none,"",L33pOYGqcEvM3Ei04S5L
"DELTA Del Llobregat / Viladecans (Barcelona)",41.278544,2.062609,icon-1542-3949AB,"",none,"",nOs4UvDZwhGT6feLJJcI
"CRAM Fundación para la Conservación y Recuperación de Animales Marinos 🐠 / El Prat de Llobregat (Barcelona)",41.283442,2.092672,icon-1542-3949AB,"",none,"",uaHIRw2LzfOBalknhSue
"CAMBIO DE SENTIDO ℹ️ / El Prat de Llobregat (Barcelona)",41.281002,2.084382,icon-1770-424242,"",none,"",BrbFvzMRC2tYRw8TjwYj
"PROHIBICIÓN 🚫 La Rambla",41.376578,2.177276,icon-1898-C2185B,"",none,"",3ZnkVLBnfsUnuio69cVx
"PROHIBICIÓN 🚫 La Rambla (Barcelona)",41.385417,2.169946,icon-1898-C2185B,"",none,"",XIgMNuLJHxolJ5hwzaiC
"PARKING BUS / (Barcelona)",41.374769,2.174332,icon-1513-1A237E,"",none,"",Qk874Q8w5yibyaswCRlo
"CANAL Olimpico De Catalunya 🛶 / Castelldefels (Barcelona)",41.281067,1.992632,icon-1502-C2185B,"",none,"",ECu8F3TvS1rwXRzGhmFS
"PARKING 🅿️ / Castelldefels (Barcelona)",41.27114,1.964134,icon-1644-0288D1,"",none,"",za8Be7UonTMdj0oVeESk
"PARKING BUS / Castelldefels (Barcelona)",41.284886,1.974472,icon-1532-7CB342,"",none,"",p6DbBjt3DRpMma4GqEYp
"ZONA DE ESPERA / Gavà (Barcelona)",41.294867,2.011025,icon-1534-4E342E,"",none,"",Ht2ixAzTOojFZ2R653Q1
"RESTAURANTE Castell del Remei (Lérida)",41.719773,0.971043,icon-1577-795548,"",none,"",ZKfyNz0z9yhfk6kKmAsz
"Casa Colonies Can Ton Xic / Tavernoles (Barcelona)",41.958023,2.330983,icon-1682-673AB7,"",none,"",HyQmhS6kHiHpYQ9EhM7B
"ENTRADA Casa Colonies Can ton Xic / Tavernoles (Barcelona)",,,line-F9A825-5000,"",none,"",Pu2icZ2asex5dVc5r8Ss
"PARKING BUS / Torrelavega (Cantabria)",43.344447,-4.050088,icon-1532-7CB342,"",none,"",qTK1khOfAUmFLoQBfTbR
"INFO : C Y D / Zarautz (Guipúzcoa) Zarauz",43.286513,-2.173165,icon-1608-3949AB,"",none,"",SVl3EAcL2d4xvCtnSzY4
"ESTADIO Anoeta ⚽️/ Real Sociedad",43.302256,-1.972472,icon-1899-DB4436,"",none,"",u1ytoMsxPeLdfs4X6itp
"RECORRIDO Subida Castillo Peñafiel",,,line-F9A825-5000,"",none,"",L0iNTdKEID1Oz5pkIeVG
"PARKING BUS  Cité de l'espace / Toulouse (FR)",43.586561,1.490633,icon-1532-7CB342,"",none,"",ycqRZjk8iHt2NT6dSAZl
"PARKING BUS / San Fernando (Cádiz)",36.45651,-6.21589,icon-1532-7CB342,"",none,"",z18fCbih8bL0XNaeDHQw
"C Y D / San Fernando (Cádiz)",36.4665,-6.202552,icon-1826-0F9D58,"",none,"",k4zqe9OBkw8AH7PxIhmk
"C Y D (10Min) 🔄 / Sevilla",37.384489,-5.998208,icon-1826-0F9D58,"",none,"",vG0NS6bO0mkc5Zwu8aKX
"HOYEL Yuma / Los Ríos (Jaén)",38.193941,-3.671216,icon-1602-9C27B0,"",none,"",JkU232Skl72aH3TCKp7S
"INFO Ronda Litoral / Barcelona",41.420987,2.222055,icon-1608-3949AB,"",none,"",3UsDPaj84V5iPkYm0izg
"INFO Ronda de Dalt / Barcelona",41.447938,2.193751,icon-1608-3949AB,"",none,"",957KGxZTib7VdwNXwHhb
"RESTAURANTE / Fátima (PO)",39.640294,-8.684442,icon-1577-795548,"",none,"",qbFW2byWPztIpglvFnmX
"MUSEO Panteón Hombres Ilustres / Madrid",40.406749,-3.68371,icon-1636-A52714,"",none,"",hM5O9vtUqTyo06JeohBy
"VALITE / Cajas de Cambio / Ripollet (Barcelona)",41.503335,2.149597,icon-1590-1A237E,"",none,"",NDGhW2c25l8LM7ey8SnJ
"NO SE RECOMIENDA ✖️/ Valencia",39.060967,-0.542633,icon-1898-1A237E,"",none,"",nPvtgNFe81GgERAbshCG
"PARC NOU / El Prat de Llobregat (Barcelona)",41.315701,2.090876,icon-1542-3949AB,"",none,"",5ENWJC7YCJ61keRU3Ceb
